predicted,true,DSH
5.9682856,5.7,-1
6.3594956,5.68,0
5.400879,5.25,-2
6.7699895,5.9,-2
6.0090036,5.32,-1
6.3163123,7.0,-2
6.745059,7.32,0
6.1609178,6.2,-1
5.5816474,5.82,-3
6.181385,5.95,-1
6.4183574,7.2,-2
5.93582,5.32,-2
6.1093698,6.39,-2
6.05539,6.59,-1
6.5066085,5.43,-4
6.367404,5.68,-2
5.382499,4.55,-2
6.4435554,5.22,-1
6.427814,5.34,-3
6.158861,6.65,-1
6.105206,6.7,-1
5.9608464,6.92,-2
5.722611,7.05,-2
6.1063848,6.24,-1
5.660909,6.82,-2
5.898524,6.59,-1
5.934201,6.48,0
5.3328824,6.12,1
4.678039,5.42,-1
6.0692306,7.64,-1
6.0635724,6.91,-2
6.252923,6.56,-1
6.416345,6.88,-2
5.9796934,6.88,-2
6.0013175,7.34,-2
6.006624,6.67,-1
5.7587876,6.75,-2
6.3918977,5.62,-2
5.723025,6.13,-3
5.7195525,6.74,-2
7.1513367,6.92,-1
6.353069,6.62,0
6.0037117,6.83,-1
6.1895823,5.33,-2
6.399009,7.08,-1
6.0353723,6.9,-1
6.035834,6.92,-1
6.150016,6.08,0
6.132852,5.89,-3
6.3360233,6.84,-1
6.2690845,6.12,-1
5.975063,6.25,-1
5.8172355,6.84,-1
6.340048,5.79,-1
6.2188306,5.98,0
6.4216876,4.78,-2
6.7893147,5.73,-1
5.638428,5.56,-2
6.2124467,6.08,-2
5.9945297,5.04,-3
6.1754503,6.51,-2
6.0316854,6.35,-3
5.655291,6.62,-1
6.1258035,5.61,-3
5.9836164,6.17,-2
6.7178426,6.12,-1
6.237126,6.09,-2
6.0317283,6.71,-1
6.052983,4.98,-4
6.08928,5.98,-2
6.295592,6.94,-1
6.2534184,6.88,-1
5.743177,5.95,-1
6.5925117,6.53,-2
6.184555,6.04,-1
5.9751077,5.83,-1
5.635011,6.19,-1
5.984564,5.78,-3
6.0888457,4.66,-2
6.525277,5.64,-3
5.7040267,5.12,-1
5.511437,3.93,-1
5.686425,5.98,-1
5.884386,5.48,-1
6.331786,5.74,-1
4.9081416,4.57,-1
5.5405393,5.18,-1
6.240187,4.27,-3
6.1169353,5.28,-1
6.0873504,6.32,-1
6.3070583,6.44,-3
5.6698346,6.44,-1
5.985539,4.62,-4
5.6053967,5.37,0
5.6692424,6.61,0
6.111976,6.34,-1
6.4006977,5.7,-1
5.4348865,5.68,0
5.4039083,5.25,-2
6.817204,5.9,-2
5.935184,5.32,-1
6.5278673,7.0,-2
6.444484,7.32,0
5.985614,6.2,-1
5.9130588,5.82,-3
5.5239215,5.95,-1
6.508289,7.2,-2
5.5261607,5.32,-2
5.6661735,6.39,-2
6.0924983,6.59,-1
6.153599,5.43,-4
6.096224,5.68,-2
5.616222,4.55,-2
6.1910543,5.22,-1
6.2059264,5.34,-3
6.228219,6.65,-1
6.1892276,6.7,-1
6.1895356,6.92,-2
5.7065206,7.05,-2
5.722874,6.24,-1
5.6253686,6.82,-2
5.8980603,6.59,-1
6.036143,6.48,0
4.98621,6.12,1
5.4997087,5.42,-1
5.8778863,7.64,-1
6.256962,6.91,-2
5.879973,6.56,-1
6.147834,6.88,-2
5.946488,6.88,-2
5.9564075,7.34,-2
5.6177335,6.67,-1
6.31912,6.75,-2
6.4520187,5.62,-2
6.0906854,6.13,-3
5.6921425,6.74,-2
6.521734,6.92,-1
6.5643024,6.62,0
5.955264,6.83,-1
6.095356,5.33,-2
6.0724854,7.08,-1
5.6934457,6.9,-1
5.8560157,6.92,-1
6.2566094,6.08,0
6.2697735,5.89,-3
6.0560737,6.84,-1
5.7953634,6.12,-1
5.940535,6.25,-1
5.6872325,6.84,-1
6.6068206,5.79,-1
6.2652087,5.98,0
6.197517,4.78,-2
6.343389,5.73,-1
5.898208,5.56,-2
6.3862743,6.08,-2
6.0077806,5.04,-3
5.620683,6.51,-2
5.5051513,6.35,-3
5.376647,6.62,-1
6.1795764,5.61,-3
6.027431,6.17,-2
6.4588356,6.12,-1
6.56435,6.09,-2
6.436713,6.71,-1
6.122569,4.98,-4
6.5142703,5.98,-2
6.3187556,6.94,-1
6.318564,6.88,-1
6.3772845,5.95,-1
6.019351,6.53,-2
5.948429,6.04,-1
5.0985017,5.83,-1
5.5852323,6.19,-1
6.167888,5.78,-3
5.7778726,4.66,-2
6.1899667,5.64,-3
5.556732,5.12,-1
5.0765424,3.93,-1
6.012069,5.98,-1
5.174347,5.48,-1
